House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Smith Lock,Geraldine,Taylor,70,Wife,Married,Female,"Retired Engineer, energy",None,None
1,Smith Lock,Gerard,Smith,15,Grandson,NA,Male,Student,None,NA
2,Smith Lock,Kerry,Flynn,22,Head,Single,Female,University Student,None,None
3,Smith Lock,Jade,Walker,25,Head,Single,Female,PhD Student,None,None
3,Smith Lock,Maureen,Wade,20,None,Single,Female,University Student,None,Christian
4,Smith Lock,Hilary,Davies,40,Head,Widowed,Female,Management consultant,None,None
5,Smith Lock,Gail,Smith,73,Head,Widowed,Female,"Retired Sales professional, IT",None,Catholic
6,Smith Lock,Carly,Green,73,Head,Widowed,Female,"Retired Therapist, occupational",None,Christian
7,Smith Lock,George,Oliver,52,Head,Married,Male,Media planner,None,Christian
7,Smith Lock,Patricia,Oliver,50,Wife,Married,Female,"Restaurant manager, fast food",None,Christian
8,Smith Lock,Alex,Robinson,20,Head,Single,Male,University Student,None,None
9,Smith Lock,Tom,Banks,19,Head,Married,Male,University Student,None,Christian
9,Smith Lock,Jemma,Banks,19,Wife,Married,Female,University Student,None,None
1,Guardian Port,Scott,Barker,53,Head,Single,Male,Comptroller,None,Christian
1,Guardian Port,Alex,Coates,46,None,Single,Male,"Scientist, research (medical)",None,Catholic
1,Guardian Port,Francis,Miller,53,None,Single,Male,Field seismologist,None,Christian
1,Guardian Port,Carol,Hammond,47,None,Divorced,Female,Bonds trader,None,None
1,Guardian Port,Jennifer,Turner,34,None,Single,Female,Scientific laboratory technician,None,None
2,Guardian Port,Diana,John,66,Head,Married,Female,"Programmer, multimedia",None,Catholic
2,Guardian Port,Duncan,John,68,Husband,Married,Male,Retired Warehouse manager,None,Catholic
3,Guardian Port,Elizabeth,Elliott,63,Head,Single,Female,Unemployed,None,None
3,Guardian Port,Alan,Walsh,65,Partner,Single,Male,Primary school teacher,None,None
4,Guardian Port,Keith,Ward,35,Head,Married,Male,Unemployed,None,None
4,Guardian Port,Valerie,Ward,34,Wife,Married,Female,Risk manager,None,None
4,Guardian Port,Ashley,Ward,9,Son,NA,Male,Student,None,NA
4,Guardian Port,Keith,Ward,9,Son,NA,Male,Student,None,NA
5,Guardian Port,Abigail,Bryan,51,Head,Single,Female,Unemployed,None,None
5,Guardian Port,Dennis,Bryan,13,Son,NA,Male,Student,None,NA
5,Guardian Port,Mohammad,Bryan,6,Son,NA,Male,Student,None,NA
6,Guardian Port,Katherine,Jones,34,Head,Single,Female,Actuary,None,None
6,Guardian Port,Jack,Parkinson,29,None,Single,Male,Hydrogeologist,None,None
7,Guardian Port,Connor,Barrett,34,Head,Married,Male,"Teacher, special educational needs",None,None
7,Guardian Port,Alice,Barrett,36,Wife,Married,Female,Ophthalmologist,None,None
8,Guardian Port,Abbie,Blackburn,70,Head,Widowed,Female,"Retired Engineer, electronics",None,Christian
8,Guardian Port,Louis,Blackburn,42,Son,Single,Male,Production engineer,None,Christian
9,Guardian Port,Kimberley,Mills,42,Head,Single,Female,Clinical cytogeneticist,None,None
9,Guardian Port,Dominic,Mills,6,Son,NA,Male,Student,None,NA
10,Guardian Port,Marion,Gilbert,48,Head,Married,Female,Ophthalmologist,None,Methodist
10,Guardian Port,Elliott,Gilbert,55,Husband,Married,Male,Tour manager,None,Methodist
11,Guardian Port,Abigail,Watkins,88,Head,Married,Female,Retired Quantity surveyor,None,None
11,Guardian Port,Gordon,Watkins,91,Husband,Married,Male,Retired Tourist information centre manager,None,None
12,Guardian Port,Graham,Martin,31,Head,Married,Male,Television floor manager,None,Catholic
12,Guardian Port,Valerie,Martin,29,Wife,Married,Female,Soil scientist,None,Catholic
13,Guardian Port,Jacqueline,Smith,31,Head,Married,Female,Aeronautical engineer,None,None
13,Guardian Port,Patrick,Smith,34,Husband,Married,Male,Amenity horticulturist,None,None
13,Guardian Port,Amber,Smith,3,Daughter,NA,Female,Child,None,NA
14,Guardian Port,June,Jones,60,Head,Single,Female,Equities trader,None,Christian
15,Guardian Port,Ian,Field,64,Head,Married,Male,Software engineer,None,Catholic
15,Guardian Port,Ruth,Field,58,Wife,Married,Female,TEFL teacher,None,Catholic
15,Guardian Port,Carolyn,Field,14,Daughter,NA,Female,Student,None,NA
15,Guardian Port,Nigel,Field,12,Son,NA,Male,Student,None,NA
15,Guardian Port,Teresa,Field,9,Daughter,NA,Female,Student,None,NA
1,Merlin Road,Abdul,Kennedy,44,Head,Single,Male,Unemployed,None,Christian
2,Merlin Road,Rita,Duffy,36,Head,Married,Female,Musician,None,Christian
2,Merlin Road,Darren,Duffy,38,Husband,Married,Male,"Engineer, broadcasting (operations)",None,Christian
2,Merlin Road,Elaine,Duffy,19,Daughter,Divorced,Female,University Student,None,Christian
3,Merlin Road,Mohammad,Manning,78,Head,Married,Male,Retired Building control surveyor,None,Christian
3,Merlin Road,Alison,Manning,77,Wife,Married,Female,Retired Television floor manager,None,Christian
4,Merlin Road,Gerard,Hart,23,Head,Divorced,Male,"Engineer, mining",None,Methodist
5,Merlin Road,Toby,O'Brien,56,Head,Married,Male,"Scientist, research (medical)",None,Christian
5,Merlin Road,Pauline,O'Brien,51,Wife,Married,Female,Unemployed,None,Christian
5,Merlin Road,Brandon,O'Brien,16,Son,NA,Male,Student,None,NA
6,Merlin Road,Jamie,Wright,66,Head,Widowed,Male,"Engineer, land",None,Christian
7,Merlin Road,Geoffrey,Jordan,53,Head,Single,Male,English as a foreign language teacher,None,None
8,Merlin Road,Luke,Oliver,69,Head,Widowed,Male,"Retired Administrator, Civil Service",None,None
9,Merlin Road,Natalie,McLean,79,Head,Single,Female,Retired Barrister's clerk,None,None
10,Merlin Road,Pamela,Page,40,Head,Married,Female,"Accountant, chartered certified",None,None
10,Merlin Road,Louis,Page,40,Husband,Married,Male,"Designer, furniture",None,None
10,Merlin Road,Katy,Elliott-Page,17,Daughter,NA,Female,Student,None,NA
11,Merlin Road,Kate,Holmes,54,Head,Single,Female,"Scientist, research (life sciences)",None,Christian
12,Merlin Road,Lauren,Blake,70,Head,Widowed,Female,Retired Magazine journalist,None,Methodist
12,Merlin Road,Leslie,Blake,42,Son,Divorced,Male,Geographical information systems officer,None,Methodist
13,Merlin Road,Elliot,Fraser,28,Head,Single,Male,"Surveyor, building control",None,None
14,Merlin Road,Paula,Green,67,Head,Divorced,Female,Marketing executive,None,Christian
14,Merlin Road,Jayne,Green,27,Daughter,Divorced,Female,Occupational therapist,None,None
15,Merlin Road,Dominic,Taylor,84,Head,Divorced,Male,Retired Oncologist,None,Christian
16,Merlin Road,Malcolm,Hurst,78,Head,Widowed,Male,Retired Metallurgist,None,None
17,Merlin Road,Leslie,Woods,49,Head,Single,Male,"Pharmacist, hospital",None,Christian
18,Merlin Road,David,Watson,70,Head,Married,Male,Retired Proofreader,None,Christian
18,Merlin Road,Dawn,Watson,71,Wife,Married,Female,Retired Dramatherapist,None,None
19,Merlin Road,Rosemary,Ahmed,29,Head,Single,Female,Clothing/textile technologist,None,None
20,Merlin Road,Oliver,Nicholson,47,Head,Single,Male,Drilling engineer,None,None
20,Merlin Road,Cheryl,Barker,46,Partner,Single,Female,Unemployed,None,None
21,Merlin Road,Lorraine,Barber,75,Head,Widowed,Female,"Retired Engineer, civil (contracting)",None,Christian
22,Merlin Road,Melissa,Morgan,77,Head,Widowed,Female,Retired Technical brewer,None,Methodist
23,Merlin Road,Jayne,Nash,39,Head,Divorced,Female,"Psychologist, counselling",None,None
24,Merlin Road,Rita,Nash,67,Head,Single,Female,"Surveyor, land/geomatics",None,Christian
25,Merlin Road,Naomi,Wallace,65,Head,Single,Female,Publishing rights manager,None,None
26,Merlin Road,Albert,Williams,87,Head,Married,Male,Retired Television/film/video producer,None,None
26,Merlin Road,June,Williams,89,Wife,Married,Female,Retired Dealer,None,None
27,Merlin Road,John,Reeves,25,Head,Single,Male,Microbiologist,None,Catholic
28,Merlin Road,Kirsty,Taylor,35,Head,Single,Female,Garment/textile technologist,None,Catholic
28,Merlin Road,Ashley,Barnett,37,Partner,Single,Male,Public relations officer,None,None
28,Merlin Road,Abdul,Burton,8,Son,NA,Male,Student,None,NA
29,Merlin Road,Tracy,Dennis,22,Head,Single,Female,University Student,None,Catholic
30,Merlin Road,Maureen,Norton,70,Head,Widowed,Female,"Retired Teacher, adult education",None,None
31,Merlin Road,Heather,Richardson,53,Head,Single,Female,"Optician, dispensing",None,None
31,Merlin Road,Francesca,Bartlett,25,None,Single,Female,Unemployed,None,None
31,Merlin Road,Cameron,West,47,None,Single,Male,English as a second language teacher,None,Christian
32,Merlin Road,Mohammed,Davies,33,Head,Divorced,Male,Airline pilot,None,Methodist
33,Merlin Road,Dominic,Kaur,22,Head,Single,Male,Animator,None,None
34,Merlin Road,Tina,Bishop,34,Head,Married,Female,Patent examiner,None,None
34,Merlin Road,Gerard,Bishop,39,Husband,Married,Male,Clinical molecular geneticist,None,None
34,Merlin Road,Mark,Bishop,15,Son,NA,Male,Student,None,NA
35,Merlin Road,Frank,Bowen,69,Head,Married,Male,"Retired Psychologist, forensic",None,Christian
35,Merlin Road,Suzanne,Bowen,66,Wife,Married,Female,Race relations officer,None,None
36,Merlin Road,Cheryl,Wright,69,Head,Widowed,Female,Unemployed,None,Christian
37,Merlin Road,Lisa,Hussain,24,Head,Single,Female,Public relations officer,None,Muslim
37,Merlin Road,Stephen,Shepherd,23,Partner,Single,Male,"Programmer, multimedia",None,Muslim
38,Merlin Road,Julia,Campbell,75,Head,Widowed,Female,Retired Licensed conveyancer,None,None
39,Merlin Road,Marian,Baldwin,69,Head,Widowed,Female,Retired Metallurgist,None,Catholic
39,Merlin Road,Mohammed,Cooper,0,Grandson,NA,Male,Child,None,NA
40,Merlin Road,Jemma,Walker,26,Head,Widowed,Female,"Engineer, manufacturing",None,None
41,Merlin Road,Chelsea,Rhodes,70,Head,Widowed,Female,Retired Public relations account executive,None,None
42,Merlin Road,Lynda,Davis,29,Head,Single,Female,Fish farm manager,None,None
42,Merlin Road,Jill,Wright,35,None,Single,Female,"Engineer, materials",None,None
42,Merlin Road,Simon,Newman,21,None,Single,Male,University Student,None,None
42,Merlin Road,Elliott,Bradley,30,None,Single,Male,Community arts worker,None,Methodist
43,Merlin Road,Ian,Ward,23,Head,Single,Male,Planning and development surveyor,Mental Disability,Christian
44,Merlin Road,Sheila,Smith,37,Head,Single,Female,Geophysical data processor,None,Methodist
44,Merlin Road,Jamie,Smith,12,Son,NA,Male,Student,None,NA
45,Merlin Road,Amanda,Baldwin,44,Head,Married,Female,Insurance broker,None,None
45,Merlin Road,Marc,Baldwin,43,Husband,Married,Male,Bonds trader,None,None
45,Merlin Road,Hugh,Baldwin,9,Son,NA,Male,Student,None,NA
46,Merlin Road,Daniel,Hughes,83,Head,Divorced,Male,Retired Acupuncturist,None,Christian
47,Merlin Road,Kimberley,Humphries,65,Head,Widowed,Female,Retail manager,None,Christian
47,Merlin Road,Gail,Humphries,44,Daughter,Single,Female,Unemployed,None,Christian
48,Merlin Road,Jill,Brown,24,Head,Single,Female,Television floor manager,None,None
49,Merlin Road,Connor,Barnes,54,Head,Single,Male,Automotive engineer,None,None
49,Merlin Road,Carly,Jones,49,Partner,Single,Female,"Therapist, occupational",None,None
50,Merlin Road,Stanley,Wood,44,Head,Single,Male,Ship broker,None,Christian
51,Merlin Road,Leon,Gardiner,71,Head,Widowed,Male,Retired Fine artist,None,Christian
52,Merlin Road,Gemma,Connor,43,Head,Divorced,Female,Unemployed,None,None
52,Merlin Road,Patrick,Connor,19,Son,Single,Male,University Student,None,None
52,Merlin Road,Iain,Connor,11,Son,NA,Male,Student,None,NA
53,Merlin Road,Debra,Yates,30,Head,Married,Female,"Administrator, charities/voluntary organisations",None,Methodist
53,Merlin Road,Roy,Yates,29,Husband,Married,Male,English as a foreign language teacher,None,Methodist
53,Merlin Road,Jack,Yates,7,Son,NA,Male,Student,None,NA
54,Merlin Road,Megan,Taylor,20,Head,Married,Female,Corporate treasurer,None,Catholic
54,Merlin Road,Trevor,Taylor,19,Husband,Married,Male,University Student,Mental Disability,None
55,Merlin Road,Leonard,Hill,68,Head,Widowed,Male,"Retired Secretary, company",None,Christian
1,Love Avenue,Leslie,Wheeler,27,Head,Single,Male,Best boy,None,Private
1,Love Avenue,Jennifer,Benson,46,None,Single,Female,Veterinary surgeon,None,Methodist
1,Love Avenue,Lucy,Barrett,28,None,Single,Female,Ophthalmologist,None,None
1,Love Avenue,Roy,Holmes,49,None,Single,Male,"Engineer, petroleum",None,Catholic
1,Love Avenue,Leanne,Lewis,64,None,Single,Female,"Engineer, biomedical",None,None
1,Love Avenue,Carol,Roberts,27,None,Single,Female,Horticultural therapist,None,None
1,Love Avenue,Sara,Nicholson,26,None,Single,Female,"Loss adjuster, chartered",None,Muslim
1,Love Avenue,Marc,Hall,33,None,Single,Male,Contractor,None,Christian
1,Love Avenue,Melissa,Bowen,37,None,Single,Female,Administrator,None,Christian
1,Love Avenue,Bradley,Lewis,45,None,Single,Male,Conference centre manager,None,None
2,Love Avenue,Jessica,Warren,51,Head,Married,Female,"Surveyor, quantity",None,Christian
2,Love Avenue,Graham,Warren,55,Husband,Married,Male,Research scientist (medical),None,None
2,Love Avenue,Kathryn,Warren,23,Daughter,Single,Female,Clinical biochemist,None,None
2,Love Avenue,Stuart,Warren,19,Son,Widowed,Male,University Student,None,Christian
2,Love Avenue,Brenda,Warren,16,Daughter,NA,Female,Student,None,NA
2,Love Avenue,Marcus,Warren,13,Son,NA,Male,Student,None,NA
2,Love Avenue,Karl,Warren,9,Son,NA,Male,Student,None,NA
2,Love Avenue,Charles,Williams-Warren,5,Son,NA,Male,Student,None,NA
2,Love Avenue,Brenda,Williams-Warren,2,Daughter,NA,Female,Child,None,NA
2,Love Avenue,Steven,Williams-Warren,2,Adopted Son,NA,Male,Child,None,NA
2,Love Avenue,Bethan,Williams-Warren,0,Daughter,NA,Female,Child,None,NA
3,Love Avenue,Caroline,Harvey,37,Head,Single,Female,Unemployed,None,None
3,Love Avenue,Kimberley,Harvey,4,Daughter,NA,Female,Child,None,NA
3,Love Avenue,Dean,Harvey,1,Son,NA,Male,Child,None,NA
3,Love Avenue,Antony,Harvey,1,Son,NA,Male,Child,None,NA
3,Love Avenue,Jacqueline,Harvey,0,Daughter,NA,Female,Child,None,NA
4,Love Avenue,Jenna,Shah,73,Head,Married,Female,"Retired Conservator, museum/gallery",None,None
4,Love Avenue,Roger,Shah,77,Husband,Married,Male,Retired Television/film/video producer,None,None
4,Love Avenue,Amy,Shah,48,Daughter,Single,Female,Unemployed,None,None
4,Love Avenue,Katy,Shah,46,Daughter,Single,Female,"Producer, television/film/video",None,None
4,Love Avenue,Irene,Shah,42,Daughter,Single,Female,Learning disability nurse,None,None
5,Love Avenue,Pamela,King,64,Head,Widowed,Female,Clothing/textile technologist,None,Methodist
5,Love Avenue,Dennis,King,37,Son,Single,Male,Biomedical engineer,None,Methodist
5,Love Avenue,Connor,Robinson,36,Son,Single,Male,"Engineer, biomedical",None,None
5,Love Avenue,Damien,Robinson,33,Son,Divorced,Male,Educational psychologist,None,Methodist
5,Love Avenue,Leonard,Robinson,31,Son,Single,Male,Equality and diversity officer,None,Methodist
6,Love Avenue,Donna,Miles,54,Head,Single,Female,Banker,None,Jewish
7,Love Avenue,Frank,Nelson,39,Head,Single,Male,Restaurant manager,None,None
7,Love Avenue,June,Ellis,64,None,Single,Female,Customer service manager,None,Christian
7,Love Avenue,Kim,Fox,48,None,Single,Female,Jewellery designer,None,Catholic
7,Love Avenue,Dawn,Young,28,None,Divorced,Female,Applications developer,None,None
7,Love Avenue,Aaron,Hanson,57,None,Single,Male,Economist,Unknown Infection,Christian
8,Love Avenue,Brett,Knight,29,Head,Single,Male,Travel agency manager,None,Methodist
9,Love Avenue,Bethany,Bibi,63,Head,Single,Female,Chief Executive Officer,None,Christian
9,Love Avenue,Kenneth,Brooks,44,None,Single,Male,Operations geologist,None,Catholic
9,Love Avenue,Jennifer,Smith,46,None,Single,Female,Teaching laboratory technician,None,Methodist
9,Love Avenue,Rachael,Taylor,58,None,Single,Female,Unemployed,None,Methodist
9,Love Avenue,Darren,Davies,54,None,Single,Male,Energy engineer,None,None
10,Love Avenue,Deborah,Brown,47,Head,Married,Female,Jewellery designer,None,None
10,Love Avenue,Donald,Brown,56,Husband,Married,Male,"Designer, textile",None,None
10,Love Avenue,Angela,Brown,7,Daughter,NA,Female,Student,None,NA
10,Love Avenue,Lynne,Brown,7,Daughter,NA,Female,Student,None,NA
11,Love Avenue,Bethan,Bull,35,Head,Married,Female,"Administrator, arts",None,Methodist
11,Love Avenue,Max,Bull,35,Husband,Married,Male,Production engineer,None,Methodist
11,Love Avenue,Dale,Bull,7,Son,NA,Male,Student,None,NA
11,Love Avenue,Keith,Bull,6,Son,NA,Male,Student,None,NA
11,Love Avenue,Brian,Bull,5,Son,NA,Male,Student,None,NA
12,Love Avenue,Gail,Murphy,59,Head,Married,Female,"Biochemist, clinical",None,Christian
12,Love Avenue,Bernard,Murphy,60,Husband,Married,Male,Interpreter,None,Christian
12,Love Avenue,Rebecca,Murphy,17,Daughter,NA,Female,Student,None,NA
12,Love Avenue,Hazel,Murphy,15,Daughter,NA,Female,Student,None,NA
12,Love Avenue,Leonard,Murphy,11,Son,NA,Male,Student,None,NA
12,Love Avenue,Julie,Murphy,8,Daughter,NA,Female,Student,None,NA
12,Love Avenue,Luke,Murphy,2,Son,NA,Male,Child,None,NA
12,Love Avenue,Brett,Murphy,1,Son,NA,Male,Child,None,NA
12,Love Avenue,Philip,Murphy,0,Son,NA,Male,Child,None,NA
12,Love Avenue,Adrian,Murphy,0,Son,NA,Male,Child,None,NA
12,Love Avenue,Louise,Barrett,31,Lodger,Single,Female,"Scientist, physiological",None,Methodist
13,Love Avenue,Alexandra,Williams,35,Head,Married,Female,"Psychologist, educational",None,Christian
13,Love Avenue,Gary,Williams,36,Husband,Married,Male,Commercial/residential surveyor,None,Christian
13,Love Avenue,Paige,Williams,5,Daughter,NA,Female,Student,None,NA
13,Love Avenue,Kevin,Saunders,2,Son,NA,Male,Child,None,NA
13,Love Avenue,Harriet,Saunders,1,Daughter,NA,Female,Child,None,NA
14,Love Avenue,Anna,Fox,51,Head,Married,Female,"Producer, television/film/video",None,Christian
14,Love Avenue,Timothy,Fox,55,Husband,Married,Male,Communications engineer,None,None
14,Love Avenue,Gillian,Fox,24,Daughter,Single,Female,Restaurant manager,None,Christian
14,Love Avenue,Bernard,Williams-Fox,20,Son,Single,Male,University Student,None,None
14,Love Avenue,Phillip,Williams-Fox,16,Son,NA,Male,Student,None,NA
14,Love Avenue,Gemma,Williams-Fox,10,Daughter,NA,Female,Student,None,NA
14,Love Avenue,Leigh,Williams-Fox,6,Son,NA,Male,Student,None,NA
14,Love Avenue,Melissa,Williams-Fox,5,Daughter,NA,Female,Student,None,NA
14,Love Avenue,Sam,Williams-Fox,1,Son,NA,Male,Child,None,NA
14,Love Avenue,Geraldine,Patel,48,Lodger,Single,Female,"Research officer, government",None,Christian
15,Love Avenue,Teresa,Carter-Ward,53,Head,Single,Female,Animal technologist,None,None
15,Love Avenue,Toby,Carter-Ward,27,Son,Single,Male,Television production assistant,None,None
15,Love Avenue,Lindsey,Carter-Ward,24,Daughter,Divorced,Female,Exercise physiologist,None,None
15,Love Avenue,Mohamed,Carter-Ward,21,Son,Single,Male,University Student,None,None
15,Love Avenue,Jeremy,Carter-Ward,21,Son,Widowed,Male,University Student,None,None
15,Love Avenue,Rita,Carter-Ward,17,Daughter,NA,Female,Student,None,NA
15,Love Avenue,Jodie,Carter-Ward,14,Daughter,NA,Female,Student,None,NA
15,Love Avenue,Connor,Carter-Ward,10,Son,NA,Male,Student,None,NA
15,Love Avenue,Eileen,Carter-Ward,6,Daughter,NA,Female,Student,None,NA
15,Love Avenue,Ian,Carter-Ward,4,Son,NA,Male,Child,None,NA
15,Love Avenue,Gregory,Carter-Ward,1,Son,NA,Male,Child,None,NA
15,Love Avenue,Pauline,Watson,22,Lodger,Single,Female,University Student,None,None
16,Love Avenue,Joan,Collins,29,Head,Single,Female,Industrial buyer,None,None
16,Love Avenue,Alexandra,Collins,2,Daughter,NA,Female,Child,None,NA
16,Love Avenue,Janet,White,22,Lodger,Single,Female,University Student,None,Sikh
16,Love Avenue,Ben,Adams,36,Lodger,Single,Male,Public house manager,None,Methodist
16,Love Avenue,Annette,Page,57,Visitor,Divorced,Female,Artist,None,Christian
16,Love Avenue,Glen,Clarke,32,Sibling,Single,Male,Optometrist,None,None
16,Love Avenue,Marc,Thompson,35,Lodger,Single,Male,Lexicographer,None,Catholic
16,Love Avenue,Dawn,Collins,30,Lodger,Divorced,Female,Production engineer,None,Methodist
16,Love Avenue,Lewis,Dean,53,Lodger,Single,Male,Electrical engineer,None,None
16,Love Avenue,Matthew,Green,39,Lodger,Single,Male,Tour manager,None,None
16,Love Avenue,Francis,Adams,41,Lodger,Single,Male,"Surveyor, quantity",None,Christian
17,Love Avenue,Katie,Davies-Wright,43,Head,Married,Female,Unemployed,None,None
17,Love Avenue,Harry,Davies-Wright,44,Husband,Married,Male,Radio broadcast assistant,None,None
17,Love Avenue,Cameron,Davies-Wright,14,Son,NA,Male,Student,None,NA
18,Love Avenue,Eileen,Fry,78,Head,Married,Female,Retired Psychotherapist,None,Christian
18,Love Avenue,Ryan,Fry,81,Husband,Married,Male,Retired Private music teacher,None,Christian
18,Love Avenue,Pauline,Fry,46,Daughter,Divorced,Female,"Scientist, research (medical)",None,Christian
18,Love Avenue,Ryan,Fry,46,Son,Single,Male,Armed forces technical officer,None,Christian
18,Love Avenue,Jennifer,Kelly,42,Daughter,Single,Female,Warden/ranger,None,Christian
